Full Name,Email Address,Are you a/an ,What organization are you affiliated with?,What organization are you affiliated with?.1,Which level of student do you wish to mentor (check all the apply),How many mentees do you wish to mentor?,"If you already are mentoring students via PCCW, please write in the exact number you are mentoring ",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Academia and research],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Architecture and urban planning],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Biotech, pharmaceutical, life sciences, and medical devices]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Business],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Consulting and strategy],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Corporate and general management],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Creative fields],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Data and analytics],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Design],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Education],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Energy, sustainability and the environment]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Engineering],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Entrepreneurship and startups],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Finance, investment and financial services]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Health and wellness],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Hospitality],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Human resources],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [IT and technology],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Journalism, publishing and communications]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Law and legal services],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Marketing],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Media and entertainment],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Medicine and healthcare],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Non-profit and social enterprise],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Policy and advocacy],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Psychology and social work],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Public service and government],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Real estate],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Retail and consumer goods],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Veterinary medicine],"Would you like your match to be based, in part, on your location?",Your location/where you wish to work (mentees) or reside (mentors); click all that apply that you want to be considered in match,"Would you like your match to be based, in part, on specific career advice you are seeking or want to provide?",Click all career advice areas that apply,"Would you like your match to be based, in part, on your college/school affiliation(s) at Cornell? Graduate students please indicate the college that most closely relates to your Field of Study administered by the Graduate School or professional degree you are obtaining.",Click all that apply,Unnamed: 43,Unnamed: 44
Andrew Cook,andrew_cook@cornell.edu,Graduate student,,Other,,,,1st Choice,,4th,,,,,3rd,,2nd,,,,,,,,,5th,,,,,,,,,,,,Yes,"East Coast U.S., NYC area",Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), International student guidance, Transitioning from academia to industry or navigating career changes",Yes,Weill Cornell Medicine (NYC),"I am a 6th-year PhD candidate in Immunology and Microbial Pathogenesis at Weill Cornell, focused on human immunology. With 1–2 years remaining, I aim to stay in NYC and am aiming for an academic postdoc alongside interests in data science, teaching, scientific editing, and science policy.",
Margaret Alvarez,margaret.alvarez@cornell.edu,Undergraduate student,First Gen,,,,,3rd,,,,,,,,,1st Choice,,,,,,,,,,,,,,,2nd,,,,,,Yes,East Coast U.S.,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Public Service and Non-Profit Careers, First Generation student guidance, Networking",Yes,"College of Agriculture and Life Sciences, Cornell Jeb E. Brooks School of Public Policy","I'm a first-year studying Global Development at CALS. My primary drive comes from addressing challenges in gender equality and education, issues that are very personal to me as I come from Afghanistan. I'm looking forward to learning about practical solutions in this field.",
Helen Rodriguez,hrodriguez@cornell.edu,Graduate student,,Graduate and Professional Students Assembly. (GPSA),,,,,,,1st Choice,2nd,3rd,,,,,,4th,5th,,,,,,,,,,,,,,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Entrepreneurship and Startup Advice, International student guidance",No,,"Strategic product leader and engineer, passionate about leveraging technology and market strategy to create scalable solutions that democratize access and drive impact",
Sandra Hernandez,sandra_hernandez@cornell.edu,Graduate student,,Cornell Tech,,,,1st Choice,,,,,,,,,,,,,,5th,,,2nd,,,,3rd,,,,4th,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Transitioning from academia to industry or navigating career changes, Networking",Yes,Cornell Ann S. Bowers College of Computing and Information Science,I am a PhD student at Cornell Tech in the Department of Information Science. My research interests include behavioral and bio-signal parsing from mobile device interactions and multimodal content modeling. I'm still exploring whether I want to pursue academic or industry-focused research post-PhD,
Charles Mitchell,charlesmitchell71@cornell.edu,Undergraduate student,First Gen,,,,,,,,5th,4th,,,,,,,,,,,,,,,1st Choice,,,,3rd,2nd,,,,,,Yes,"East Coast U.S., West Coast U.S., NYC area",Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Public Service and Non-Profit Careers, Transitioning from academia to industry or navigating career changes, First Generation student guidance, Networking",Yes,College of Arts and Sciences,I am a student at Cornell University studying Government. I am dedicated to advocacy and community leadership and am passionate about how people and policy intersect to bring change and hope to pursue a career in law or public service.,
Brandon Ramirez,brandonr@cornell.edu,PCCW member,,,Undergraduate students,1.0,,,,,4th,,,,,,,,,1st Choice,,,2nd,,,,,,,,,,,,,3rd,,No,,Yes,Entrepreneurship and Startup Advice,No,,,
Joyce Campbell,jcampbell@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",3.0,0,,,,2nd,,3rd,,,,5th,,,,1st Choice,,,,4th,,,,,,,,,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Entrepreneurship and Startup Advice, First Generation student guidance, Networking",No,,,
Harper Adams,hadams@cornell.edu,Graduate student,,Graduate and Professional Students Assembly. (GPSA),,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,5th,2nd,3rd,4th,,,,Yes,"East Coast U.S., West Coast U.S., NYC area, Western Europe, Eastern Europe, UK",Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, International student guidance",Yes,College of Arts and Sciences,"Hello, my name is Jue. I am currently pursuing a degree in Asian Studies, and I am exploring possible career paths, including law or policy-related work. I’m very glad to have the opportunity to connect with you.",
Alexander Evans,alexander.evans@cornell.edu,Graduate student,,Graduate and Professional Students Assembly. (GPSA),,,,1st Choice,,,,2nd,,,,,3rd,,,,,,,,,,,,,,,5th,4th,,,,,Yes,"East Coast U.S., NYC area, East Asia",Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Public Service and Non-Profit Careers, International student guidance, Transitioning from academia to industry or navigating career changes, First Generation student guidance, Networking",Yes,College of Arts and Sciences,"I'm a PhD student from China working on animal literature and environmental criticism. I love language learning re: German, French, ancient Greek, Tangut, etc. ",
Amelia Wilson,a.wilson39@cornell.edu,PCCW member,,,Undergraduate students,2.0,,2nd,,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,No,,No,,No,,"Lisa Barsanti Hoyt '79 is a retired senior development executive who supports and advises nonprofit organizations. She is a trustee of Montclair Ambulance Unit and serves Cornell through volunteer roles with her class, the Annual Fund, Cornell University Council and PCCW.
",
Stephanie Ramirez,stephanie.ramirez@cornell.edu,PCCW member,,,Undergraduate students,1.0,,,,,4th,,,5th,,,,,,,,,1st Choice,,,,,2nd,,,,,,,3rd,,,No,,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce",Yes,Nolan School of Hotel Administration,"Lauren Levin is Chief Marketing Officer at Lightstone, overseeing marketing / advertising, digital media, creative, branding, programming, and public relations strategy across Lightstone’s portfolio of Moxy Hotels, as well as its national real estate and corporate platform.  ",
George Perry,george.perry@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",3.0,,,,,1st Choice,,2nd,,,,,,,,,,,,,,,4th,,,,,,,,3rd,,No,,No,,No,,,
James Reed,jamesreed88@cornell.edu,Undergraduate student,First Gen,,,,,,,,,3rd,4th,,,,,,,2nd,1st Choice,,,5th,,,,,,,,,,,,,,Yes,"East Coast U.S., NYC area",Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), First Generation student guidance, Networking",No,,"Hi, my name is Yi, a sophomore at Cornell's Dyson School studying Applied Economics and Management and an analyst in Cornell Alternative Investments. I've built a strong foundation in finance through case competitions, campus organizations, and project work, and I'm excited to continue learning!",
Rebecca Cook,rebeccac@cornell.edu,Graduate student,,Graduate and Professional Students Assembly. (GPSA),,,,2nd,,1st Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"East Coast U.S., West Coast U.S., NYC area, Canada",Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Transitioning from academia to industry or navigating career changes, Networking",Yes,College of Engineering,"Hello! My name is Chelsea and I am a third-year PhD candidate in Biomedical Engineering. Upon graduation, I am looking to transition into industry and working in R&D. I would appreciate any insight to the interview process, how to make myself a competitive candidate, and any helpful tips!",
Andrew Wood,a.wood22@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",1.0,,,,,,,,,,,,,,,,,,,,1st Choice,,,2nd,,,,,,,,,No,,Yes,"Work-Life Balance, First Generation student guidance, Networking",No,,,
Sharon Sanders,sharonsanders16@cornell.edu,Undergraduate student,Women's Leadership Initiative (WLI),,,,,,,,1st Choice,3rd,,,,,,,,,2nd,,,,,,,,,,,,,,,,,Yes,"East Coast U.S., NYC area, Western Europe, Eastern Europe",Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), International student guidance",Yes,"Charles H. Dyson School of Applied Economics and Management, College of Arts and Sciences, Cornell SC Johnson College of Business","Hi, my name is Ari, and I’m an international student from Moldova and a senior at Cornell University majoring in Economics. I’d love to connect and learn more about the economics/business industry, as well as gain insight into post-graduation opportunities for international students.",
Gary Cook,gcook@cornell.edu,Undergraduate student,Other,,,,,3rd,,,,,,,,,,,,,,2nd,,,,,,,,1st Choice,,,,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Networking",No,,My name is Anna Antinolfi and I am a sophomore Chemistry major in the College of Arts and Sciences. In the future I hope to go to medical school and become a pediatric cardiologist / thoracic surgeon! ,
Stephen Stewart,sstewart@cornell.edu,PCCW member,,,Undergraduate students,2.0,,,,1st Choice,,,,,,,,,,,,,,,,,,,,2nd,,,,,,,,Yes,"East Coast U.S., NYC area",Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Transitioning from academia to industry or navigating career changes, First Generation student guidance",Yes,College of Agriculture and Life Sciences,"Hello, I am Valerie, CALS '07, who majored in Biology with a concentration in Microbiology. Am Latina and from Northern NJ where I am a clinical research professional in pharma. Happy to meet you!",
Catherine Baker,catherine.baker@cornell.edu,Undergraduate student,Other,,,,,4th,,5th,,,,,,,,,,,,2nd,,,,,,,,1st Choice,,,3rd,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Public Service and Non-Profit Careers, Transitioning from academia to industry or navigating career changes, Networking",No,,I am a Biology & Society student at Cornell with extensive clinical research experience and a passion for health equity. I look forward to combining my background in patient care and advocacy with your guidance to navigate a future career in medicine and public health!,
Carol Smith,csmith@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",2.0,,,,,,,,,,,,,,,,5th,,,,,,,,2nd,,1st Choice,,3rd,,,4th,Yes,East Coast U.S.,Yes,"Public Service and Non-Profit Careers, Networking",No,,,
Betty Perry,betty_perry@cornell.edu,Graduate student,,"Graduate and Professional Students Assembly. (GPSA), Other",,,,,,1st Choice,4th,,3rd,,,,,,,,,,,,,,2nd,,,,,5th,,,,,,No,,Yes,"Work-Life Balance, Transitioning from academia to industry or navigating career changes, First Generation student guidance, Networking",Yes,College of Agriculture and Life Sciences,"I am a second-year PhD student in Molecular Biology and Genetics researching animal reproduction, and I am interested in pursuing non-academic career paths where I can translate my scientific skills into meaningful public impact.",
Catherine Wright,c.wright89@cornell.edu,PCCW member,,,Undergraduate students,2.0,1,,,,,,,,,,,,,,2nd,,,,1st Choice,,,,,,,,,,,,,No,,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), International student guidance, First Generation student guidance, Networking",No,,,
Ava Kim,avakim45@cornell.edu,Graduate student,,Graduate and Professional Students Assembly. (GPSA),,,,3rd,,,5th,,,,,,,,,1st Choice,4th,,,,2nd,,,,,,,,,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Entrepreneurship and Startup Advice, Transitioning from academia to industry or navigating career changes, Networking",No,,"I am a fifth year PhD in information science working on proactive AI that helps resolve miscommunication in workplace to promote productivity and inclusion. I want to transition from academia and start my company after graduation, potentially via incubator.",
Michelle Garcia,michelle.garcia@cornell.edu,PCCW member,,,Undergraduate students,2.0,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,No,,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce",Yes,"College of Arts and Sciences, Cornell Law School","I’m an Arts and Sciences grad (Government major) and Law grad. I’ve practiced law (corporate, securities, derivatives, investment management) for over 25 years both in private practice and in-house. I am happy to serve as a resource if you’re interested in pursuing a legal career. ",
Abigail Murphy,abigail.murphy@cornell.edu,Graduate student,,Graduate and Professional Students Assembly. (GPSA),,,,4th,,3rd,,5th,,,1st Choice,,,,,,,,,,,,,,,,,,,,,2nd,,Yes,"East Coast U.S., NYC area",Yes,"Work-Life Balance, Navigating the workforce, First Generation student guidance, Networking",No,,"I am currently a PhD candidate in food science with a concentration in sensory science. I enjoy research, but my career interests are more focused on transitioning to industry and working in CPG.",
Ronald Martinez,ronaldmartinez28@cornell.edu,Undergraduate student,First Gen,,,,,,,,1st Choice,,,5th,,,,,,,,,2nd,,,,,3rd,4th,,,,,,,,,Yes,NYC area,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Networking",No,,My name is Jasmine and I am currently a freshman in the Nolan School of Hotel Administration. Currently I am not really sure of what kind of career I would like to pursue in the future but I am leaning towards hotel operations or the food and beverage industry.,
David Russell,davidrussell49@cornell.edu,Graduate student,,Other,,,,4th,,,1st Choice,2nd,3rd,5th,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,Yes,Nolan School of Hotel Administration,I'm a current Nolan MMH student who recently graduated from UVA with a degree in Economics. I'm excited to be matched with a mentor to learn more about how Cornell will prepare me for my career journey. ,
Richard Turner,richardturner73@cornell.edu,Undergraduate student,Other,,,,,5th,,,,,,,,,,,,,,,,,,,2nd,,,,3rd,1st Choice,,4th,,,,Yes,"East Coast U.S., NYC area",Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Public Service and Non-Profit Careers, Networking",Yes,College of Arts and Sciences,"Hi, my name is Gabriella Sanchez; I am a junior at Cornell majoring in Government and minoring in Public Policy and Law & Society. I am very interested in healthcare and social justice policy, hoping to pursue careers in the nonprofit or public policy arena. ",
Charles Wilson,charleswilson56@cornell.edu,Undergraduate student,First Gen,,,,,,,,4th,2nd,,,,,,,,,1st Choice,,,,,,,5th,,,,,3rd,,,,,Yes,"East Coast U.S., NYC area",Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), First Generation student guidance, Networking",No,,"I am Maggie Provencal '29. I am a first-generation student and a member of the Cornell Women's Rowing team. Currently, my major is Biological Sciences in CALS, and I plan to internally transfer to the Nolan School. My career goal is to work in behavioral finance. ",
Mia Scott,m.scott76@cornell.edu,Undergraduate student,Other,,,,,,,1st Choice,4th,,,,,,,,,,,3rd,,,,,,,,2nd,,,,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), International student guidance, Networking",No,,Hi! My name is Cedar. I’m a softmore at Cornell studying biomedical sciences in the interdisciplinary program. I’m on the varsity rowing team and love all things outdoors! ,
Stephen Bailey,stephen_bailey@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",1.0,,,,,,1st Choice,,,3rd,,,,,,,,2nd,,,,,,,,,,,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Transitioning from academia to industry or navigating career changes",No,,,
Lauren Davis,ldavis@cornell.edu,Undergraduate student,Other,,,,,5th,,,,3rd,,,,,,1st Choice,2nd,,,,,,4th,,,,,,,,,,,,,Yes,"East Coast U.S., East Asia, Midwest US",Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Transitioning from academia to industry or navigating career changes, Networking",Yes,"College of Agriculture and Life Sciences, College of Engineering","Hi, my name is Gina, a sophomore studying environmental engineering at CALS! In addition to my passion for sustainability, I’m also very interested in exploring new experiences both for my academics and career development. ",
Olivia Cox,olivia.cox@cornell.edu,Undergraduate student,"GenEq - Gender Equity Resource Center, First Gen",,,,,4th,,,,,,,,,5th,,,,,,,,,,3rd,,,,,1st Choice,,2nd,,,,Yes,"East Coast U.S., NYC area",No,,Yes,College of Arts and Sciences,"Hello, my name is Emely Hernandez, and I am an undergraduate student in the class of 2028. I am the eldest daughter of two immigrant parents and the first to attend college in my family. I look forward to being in contact with you.",
Donald Robinson,donald.robinson@cornell.edu,PCCW member,,,Undergraduate students,1.0,0,2nd,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,Yes,"East Coast U.S., NYC area",No,,Yes,College of Agriculture and Life Sciences,Undergraduate biology major.  Retired cardiologist,
Sofia Ortiz,sofia_ortiz@cornell.edu,Undergraduate student,Other,,,,,,,,,,,,,,,,,,,,,3rd,,,1st Choice,,,,,2nd,,,,,,No,,Yes,"Navigating the workforce, Public Service and Non-Profit Careers, Transitioning from academia to industry or navigating career changes",Yes,School of Industrial and Labor Relations,"I am an ILR undergraduate interested in social justice, workers’ rights, and economic inequality. I hope to pursue a law degree after graduating and work in the law/policy field. ",
Amelia Morgan,ameliam@cornell.edu,Undergraduate student,First Gen,,,,,5th,,,,,,,,,,3rd,,,,1st Choice,,,,,,,,2nd,,4th,,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Public Service and Non-Profit Careers, First Generation student guidance, Networking",No,,"Hi, my name is Charlotte and I am a sophomore at Cornell. I'm mainly interested in global and public health, epidemiology, public policy, and One Health. I'm considering pursuing grad school. Additionally, I'm a member of Cornell International Affairs Society and Rho Psi Eta, a pre-health sorority. ",
Carol Perry,carol_perry@cornell.edu,Graduate student,,Other,,,,3rd,,,,,,,,,,1st Choice,2nd,,,,,,,,,,,,,,,,,,,Yes,"East Coast U.S., West Coast U.S., NYC area, Western Europe",Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Entrepreneurship and Startup Advice, Transitioning from academia to industry or navigating career changes, Networking",Yes,"College of Agriculture and Life Sciences, College of Engineering",Hi!! I'm Florencia :D I'm a first year PhD student in Cornell's School of Civil and Environmental Engineering. I do research related to using novel adsorbents to remove pollutants from water and most of my background is in environmental chemistry work! I am interested in working in R&D or a startup!,
Maria Richardson,mrichardson@cornell.edu,PCCW member,,,Undergraduate students,1.0,,,,3rd,,,,,,,,,1st Choice,,,,,,2nd,,,,,,,,,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Public Service and Non-Profit Careers",Yes,College of Engineering,"Hello! Looking forward to meeting you! I'm a mid-career Technical Advisor with a love for youth STEM education, the Arts, and Travel!",
Barbara Ramos,bramos@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",3.0,,2nd,,,,,,,,,,,,3rd,,,,,,,,,,1st Choice,,,,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Transitioning from academia to industry or navigating career changes, First Generation student guidance",No,,"My name is Racquel Johnson, DMD, MBA. I am a board-certified pediatric dentist. Had my own private practice for 14 years. Also taught dental students and pediatric dental residents. ",
Kevin Torres,kevintorres85@cornell.edu,Graduate student,,Other,,,,,,3rd,,1st Choice,4th,,2nd,,,,,,,,,,,5th,,,,,,,,,,,,Yes,NYC area,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Networking",No,,"I’m a PhD graduate student at Weill Cornell, studying the impact of genomic alterations on fibroblasts in rheumatoid arthritis patients’ tissue. I’m interested in learning how to use my analytical skills in strategy consulting, business development, and data analytics.",
Christopher Perry,christopher.perry@cornell.edu,Graduate student,,Other,,,,1st Choice,,,,,,,,,3rd,,,,,,,,,2nd,,,,,,,,,,,,Yes,East Coast U.S.,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Transitioning from academia to industry or navigating career changes, Networking",Yes,College of Arts and Sciences,"My name is Dominique Joe and I am a PhD candidate in the Department of Literatures in English. I'm writing a dissertation titled ""Articulations of Universality in Black Feminist Thought."" In it, I argue that Black feminist thinkers are creating a new universalism through material universality. ",
Ava Young,ava_young@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",2.0,1,,,,,,,2nd,,,,,,,,,,,,3rd,,,1st Choice,,,,,,,,,No,,Yes,"Work-Life Balance, Transitioning from academia to industry or navigating career changes",No,,"Graduated in 1987 and understand careers are about the journey and not just the destination. I have transitioned from advertising to film marketing to television writing. As someone who didn’t take writing courses at Cornell, I never anticipated I would spend 25 years writing for comedies.",
Ava Alvarez,ava.alvarez@cornell.edu,Graduate student,,Graduate and Professional Students Assembly. (GPSA),,,,4th,1st Choice,,,,3rd,,,,,,,5th,,,,,,,,,,,,,,2nd,,,,Yes,"NYC area, south america",Yes,"Navigating the workforce, Entrepreneurship and Startup Advice, International student guidance, First Generation student guidance, Networking",Yes,"College of Architecture, Art, and Planning, Cornell Jeb E. Brooks School of Public Policy, City and Regional planning, government",I’m a Cornell planning student with a background in architecture and public infrastructure projects. I’m interested in how cities and governments actually get things built and how they can do it more fairly.,
Nicholas Taylor,n.taylor61@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",2.0,2-Jan,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,2nd,,,,,,No,,Yes,Public Service and Non-Profit Careers,Yes,School of Industrial and Labor Relations,"Vicki spent nearly 20 years as a successful organizer and Director of Organizing for the Teamsters Union. She then spent 23 years as President and CEO of the National Abortion Federation, supporting abortion providers and ensuring women’s access to safe, legal, quality abortion care. 

",
Deborah Hernandez,dhernandez@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",4.0,0,,,,,,,,,,2nd,,,,,,,,,,,,,,,,1st Choice,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.)",Yes,College of Arts and Sciences,,
Kenneth Collins,k.collins75@cornell.edu,Graduate student,,Graduate and Professional Students Assembly. (GPSA),,,,,,1st Choice,,5th,3rd,,,,2nd,,,,,,,,,,,,,,4th,,,,,,,No,,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Public Service and Non-Profit Careers, Entrepreneurship and Startup Advice, Transitioning from academia to industry or navigating career changes, Networking",No,,Cátia is a scientist and social impact leader advancing spinal cord injury research and expanding STEM education access across Africa through her nonprofit.,
Christine Mendoza,christine_mendoza@cornell.edu,Undergraduate student,"Women's Leadership Initiative (WLI), First Gen",,,,,4th,,,,,,,,,,,,,,2nd,,3rd,,,,,,1st Choice,,,5th,,,,,Yes,"East Coast U.S., West Coast U.S., NYC area",No,,No,,"My name is Nayely, a current Senior studying Biology & Society. I am hoping to apply to PA school in a year or 2 and gain patient care hours in the meantime. ",
