Full Name,Email Address,Are you a/an,What is your level of student?,Your location/where you wish to be based,"Would you like your match to be based, in part, on your location?",Click all that apply (College/School),"Would you like your match to be based, in part, on your college?",What career advice areas would you like to focus on?,What organization are you affiliated with?,Are you willing to provide your cell phone number?,Please add your phone number (optional),Please provide a short 1-2 sentences that we will use to introduce you to your mentor/mentee. (300 character limit),Is there anything else you would like to share?,Which level of student do you wish to mentor?,How many mentees are you able to take on?,"Please rank your field of interest/expertise [Academia and research] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Architecture and urban planning] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Biotech, pharmaceutical, life sciences, and medical devices] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Business] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Consulting and strategy] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Corporate and general management] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Creative fields] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Data and analytics] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Design] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Education] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Energy, sustainability and the environment] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Engineering] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Entrepreneurship and startups] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Finance, investment and financial services] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Health and wellness] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Hospitality] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Human resources] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [IT and technology] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Journalism, publishing and communications] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Law and legal services] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Marketing] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Media and entertainment] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Medicine and healthcare] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Non-profit and social enterprise] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Policy and advocacy] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Psychology and social work] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Public service and government] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Real estate] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Retail and consumer goods] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Veterinary medicine] (1 = highest priority, 5 = lowest)"
Bella Ramos,bellaramos29@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,NYC Area,No,Weill Cornell Medicine (NYC),Yes,"Work-Life Balance, Transitioning From Academia To Industry Or Navigating Career Changes",Other,No,,Passionate about Engineering with a growing interest in tech for good. Looking forward to mentorship.,,,,,,,,,,,,,3,,1 - Highest Priority,,,,,,2,,,,,,,,,,,,
Chloe Brown,chloebrown37@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,West Coast U.S.,Yes,Graduate School Field Of Study,Yes,"Public Service And Non-Profit Careers, First Generation Student Guidance",Women's Leadership Initiative (WLI),No,,Currently pursuing a degree in Health and wellness. Excited to connect with professionals in sustainability.,,,,,,,,,,2,,,,,,,,1 - Highest Priority,,,,3,,,,,,,,,,,
Hadley Robinson,hadleyrobinson97@cornell.edu,Undergraduate,Undergraduate,NYC Area,Yes,School Of Industrial And Labor Relations,No,"International Student Guidance, Career Guidance, Entrepreneurship And Startup Advice",First Gen,No,,Currently pursuing a degree in Business. Excited to connect with professionals in innovation.,,,,,,3,1 - Highest Priority,,,,,,,,,,,,,,,,,,,,,2,4,,,,
Chloe Morales,chloemorales10@icloud.com,PCCW Mentor (Cornell Alum),,East Coast U.S.,Yes,Cornell University,No,"Entrepreneurship And Startup Advice, First Generation Student Guidance, Public Service And Non-Profit Careers",Graduate and Professional Students Assembly (GPSA),Yes,212-530-6049,"Proud Cornell grad. Now working in Biotech, pharmaceutical, life sciences, and medical devices, specializing in policy reform.",Available on weekday evenings only.,Graduate,2.0,,,1 - Highest Priority,,,,,,,,,,3,,,,,,,,,,4,,,2,,,,
Aaliyah Sharma,aaliyahsharma64@yahoo.com,PCCW Mentor (Cornell Alum),,NYC Area,Yes,Cornell Tech (NYC),Yes,"Public Service And Non-Profit Careers, First Generation Student Guidance, Navigating The Workforce",Other,No,,"Proud Cornell grad. Now working in Biotech, pharmaceutical, life sciences, and medical devices, specializing in innovation.",Happy to meet once a month or more.,,1.0,,,1 - Highest Priority,,,,,,,,,,,,,,,,,2,,,,,,3,,,,
Sophie Do,sophiedo73@yahoo.com,PCCW Mentor (Cornell Alum),,NYC Area,Yes,College Of Engineering,No,"International Student Guidance, Navigating The Workforce, Work-Life Balance",Cornell Tech,Yes,212-867-3281,I've spent 8+ years in Marketing and love mentoring the next generation in tech for good.,,Undergraduate,1.0,,,,2,,,,,,,,,,3,,,,,,,1 - Highest Priority,,,,,,,,,
Sadie Chavez,sadiechavez03@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,South Asia,Yes,The Samuel Curtis Johnson Graduate School Of Management.,Yes,"Work-Life Balance, Career Guidance, Navigating The Workforce",Cornell Tech,Yes,607-773-2122,Passionate about IT and technology with a growing interest in policy reform. Looking forward to mentorship.,Looking for someone in NYC area if possible.,,,,,4,,,,,3,,,,,2,,,,,1 - Highest Priority,,,,,,,,,,,,
Nevaeh Anderson,nevaehanderson74@cornell.edu,Undergraduate,Undergraduate,NYC Area,Yes,"College Of Architecture, Art, And Planning",Yes,"Work-Life Balance, Navigating The Workforce",GenEq - Gender Equity Resource Center,No,,Currently pursuing a degree in Health and wellness. Excited to connect with professionals in financial inclusion.,,,,,,3,5 - Lowest Priority,,,,,,,,,,4,1 - Highest Priority,,,2,,,,,,,,,,,,
Audrey Patel,audreypatel44@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,West Coast U.S.,Yes,Cornell Law School,Yes,"Transitioning From Academia To Industry Or Navigating Career Changes, Navigating The Workforce, Work-Life Balance",GenEq - Gender Equity Resource Center,No,,I love IT and technology and hope to work in community building after graduation. Always eager to learn!,Available on weekday evenings only.,,,,,,3,2,,,,,,,,,,,,,1 - Highest Priority,,,,,,,,,,,,
Olivia Nguyen,olivianguyen87@outlook.com,PCCW Mentor (Cornell Alum),,East Coast U.S.,Yes,Cornell University,No,"Navigating The Workforce, Work-Life Balance, Career Guidance",Women's Leadership Initiative (WLI),No,,Cornell alum working in Engineering. Happy to share insights about careers in community building.,,Undergraduate,3.0,,,,,,,,,,,,1 - Highest Priority,,,,,,,3,2,,,,,,,,,,
Kennedy Vasquez,kennedyvasquez55@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,South Asia,Yes,Graduate School Field Of Study,No,"Work-Life Balance, Career Guidance, Navigating The Workforce",Women's Leadership Initiative (WLI),No,,Cornell sophomore interested in Medicine and healthcare and looking to explore career paths in tech for good.,,,,,,,4,,,,,,,,,,,3,,,2,,,,,1 - Highest Priority,,,,,,,
Ruby Castillo,rubycastillo22@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,West Coast U.S.,Yes,Cornell Tech (NYC),Yes,Entrepreneurship And Startup Advice,Women's Leadership Initiative (WLI),No,,Passionate about Data and analytics with a growing interest in diversity and inclusion. Looking forward to mentorship.,Prefer virtual meetings.,,,,5 - Lowest Priority,4,,,,,1 - Highest Priority,,,,,,,,,,3,,2,,,,,,,,,,
Aisha Jones,aishajones61@cornell.edu,Undergraduate,Undergraduate,NYC Area,No,"College Of Architecture, Art, And Planning",Yes,"Entrepreneurship And Startup Advice, First Generation Student Guidance, Work-Life Balance",Panhellenic/Multicultural Greek Fraternal Council,No,,Cornell senior interested in Medicine and healthcare and looking to explore career paths in social impact.,Happy to meet once a month or more.,,,,,,4,,,,,,,,3,,,,,,5 - Lowest Priority,,2,,,1 - Highest Priority,,,,,,,
Mia Perez,miaperez72@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,NYC Area,Yes,Cornell Tech (NYC),No,"Career Guidance, First Generation Student Guidance, Public Service And Non-Profit Careers",Graduate and Professional Students Assembly (GPSA),Yes,607-462-9130,I'm a junior studying IT and technology at Cornell. I'm passionate about making an impact in tech for good.,,,,,,2,,,,,,,,,3,,,,,,1 - Highest Priority,,,,,,,,,4,,,
Abigail Rivera,abigailrivera54@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,East Coast U.S.,Yes,The Samuel Curtis Johnson Graduate School Of Management.,Yes,"Career Guidance, Navigating The Workforce",Building Ourselves Through Sisterhood and Service (BOSS),Yes,607-583-8181,Aspiring Hospitality professional with interests in innovation and making a difference.,Happy to meet once a month or more.,,,,,,,2,,,,,,,3,,,,1 - Highest Priority,,,,4,,,,,,,,,,
Clara Diaz,claradiaz85@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,NYC Area,Yes,Cornell Law School,No,International Student Guidance,Other,Yes,607-747-8708,Cornell junior interested in Public service and government and looking to explore career paths in financial inclusion.,Happy to share my journey from undergrad to grad school.,,,,,,,,,,,,,,,3,2,,,,,,4,,,,,,,1 - Highest Priority,,,
Liliana Castillo,lilianacastillo82@yahoo.com,PCCW Mentor (Cornell Alum),,East Coast U.S.,Yes,Cornell Law School,No,"Transitioning From Academia To Industry Or Navigating Career Changes, Navigating The Workforce, Career Guidance",Other,No,,I've spent 15+ years in Creative fields and love mentoring the next generation in diversity and inclusion.,,Undergraduate,1.0,,,,,,,1 - Highest Priority,,,,,,,,,,,,,3,,,2,,,,,,,
Stella Harris,stellaharris11@yahoo.com,PCCW Mentor (Cornell Alum),,Western Europe,No,Cornell University,No,Career Guidance,Graduate and Professional Students Assembly (GPSA),No,,"Proud Cornell grad. Now working in Law and legal services, specializing in innovation.",,Both,1.0,,,4,2,,,,,,,,,,,,,,,,1 - Highest Priority,,,,,,,,,,3
Chloe Young,chloeyoung74@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,East Coast U.S.,No,Cornell Ann S. Bowers College Of Computing And Information Science,No,"Networking, Work-Life Balance",Women's Leadership Initiative (WLI),No,,Passionate about Law and legal services with a growing interest in innovation. Looking forward to mentorship.,,,,,,5 - Lowest Priority,,,,,,,,,,,2,,,,,4,1 - Highest Priority,3,,,,,,,,,
Peyton Nguyen,peytonnguyen86@icloud.com,PCCW Mentor (Cornell Alum),,NYC Area,Yes,Cornell Tech (NYC),No,"Navigating The Workforce, Work-Life Balance, Career Guidance",First Gen,Yes,212-363-7630,Experienced professional in Law and legal services with 20 years in tech for good. Excited to give back.,Available on weekday evenings only.,Graduate,2.0,,,,,,,,,,,,,,,,,,3,,1 - Highest Priority,,,,,,,,,,2
Olivia Moreno,oliviamoreno82@icloud.com,PCCW Mentor (Cornell Alum),,NYC Area,Yes,Weill Cornell Medicine (NYC),Yes,"Work-Life Balance, Career Guidance",Cornell Tech,Yes,212-992-9134,Experienced professional in Marketing with 8 years in entrepreneurship. Excited to give back.,Available on weekday evenings only.,Both,1.0,,,,,,,,,3.0,,4,,5 - Lowest Priority,,,,,,,2,1 - Highest Priority,,,,,,,,,
Mia Miller,miamiller96@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,East Coast U.S.,No,Cornell Tech (NYC),Yes,Entrepreneurship And Startup Advice,Women's Leadership Initiative (WLI),No,,Passionate about Engineering with a growing interest in entrepreneurship. Looking forward to mentorship.,,,,,,,3,,,,,,,,1 - Highest Priority,,,,,,,,2,,,,,,,,,,
